,Algorithm,Esum,Esum_std,Emax,Emax_std,AMI,AMI_std,Time
0,MinMaxKmeans_b0,343.409,0.0,187.424,0.0,0.675,0.0,2.374
1,MinMaxKmeans_b01,343.409,0.0,187.424,0.0,0.675,0.0,2.472
2,MinMaxKmeans_b03,343.409,0.0,187.424,0.0,0.675,0.0,2.482
3,Kmeans,339.039,0.0,204.639,0.0,0.736,0.0,0.206
4,Kmeans++,339.039,0.0,204.639,0.0,0.736,0.0,0.205
5,Kmedians,725.0,0.0,470.556,0.0,0.665,0.0,0.156
6,Kpifs,340.567,0.0,221.886,0.0,0.76,0.0,0.207
7,MinMaxKmeans_b0+k-Means,339.039,0.0,204.639,0.0,0.736,0.0,0.163
8,MinMaxKmeans_b01+k-Means,339.039,0.0,204.639,0.0,0.736,0.0,0.18
9,MinMaxKmeans_b03+k-Means,339.039,0.0,204.639,0.0,0.736,0.0,0.148
10,Kmedians+k-Means,339.039,0.0,204.639,0.0,0.736,0.0,0.281
11,Kpifs+k-Means,339.039,0.0,204.639,0.0,0.736,0.0,0.164
