,Algorithm,Compl,Homo,V-meas,DB,Silhouette
0,MinMaxKmeans_b0,0.689,0.663,0.675,0.764,0.596
1,MinMaxKmeans_b01,0.689,0.663,0.675,0.764,0.596
2,MinMaxKmeans_b03,0.689,0.663,0.675,0.764,0.596
3,Kmeans,0.74,0.732,0.736,0.761,0.597
4,Kmeans++,0.74,0.732,0.736,0.761,0.597
5,Kmedians,0.677,0.655,0.666,0.763,0.596
6,Kpifs,0.756,0.764,0.76,0.773,0.587
7,MinMaxKmeans_b0+k-Means,0.74,0.732,0.736,0.761,0.597
8,MinMaxKmeans_b01+k-Means,0.74,0.732,0.736,0.761,0.597
9,MinMaxKmeans_b03+k-Means,0.74,0.732,0.736,0.761,0.597
10,Kmedians+k-Means,0.74,0.732,0.736,0.761,0.597
11,Kpifs+k-Means,0.74,0.732,0.736,0.761,0.597
