,Algorithm,Compl,Homo,V-meas,DB,Silhouette
0,MinMaxKmeans_b0,0.789,0.804,0.796,2.052,0.192
1,MinMaxKmeans_b01,0.793,0.803,0.798,2.031,0.194
2,MinMaxKmeans_b03,0.797,0.814,0.805,2.017,0.191
3,Kmeans,0.833,0.797,0.814,2.004,0.204
4,Kmeans++,0.849,0.819,0.833,1.929,0.212
5,Kmedians,0.749,0.721,0.734,2.488,0.166
6,Kpifs,0.739,0.782,0.76,2.482,0.151
7,MinMaxKmeans_b0+k-Means,0.851,0.853,0.852,1.85,0.226
8,MinMaxKmeans_b01+k-Means,0.85,0.853,0.852,1.854,0.226
9,MinMaxKmeans_b03+k-Means,0.85,0.853,0.852,1.854,0.226
10,Kmeans+k-Means,0.902,0.86,0.881,1.993,0.199
11,Kmedians+k-Means,0.797,0.771,0.784,2.339,0.16
12,Kpifs+k-Means,0.858,0.86,0.859,1.881,0.225
