,Algorithm,Esum,Esum_std,Emax,Emax_std,AMI,AMI_std,Time
0,MinMaxKmeans_b0,29.389,0.0,11.018,0.0,0.732,0.0,0.632
1,MinMaxKmeans_b01,29.389,0.0,11.018,0.0,0.732,0.0,0.652
2,MinMaxKmeans_b03,28.213,5.759,10.577,2.159,0.725,0.041,0.64
3,Kmeans,30.823,2.6,15.849,6.113,0.693,0.063,0.075
4,Kmeans++,30.07,1.987,14.241,4.62,0.713,0.05,0.064
5,Kmedians,50.902,5.373,28.023,10.714,0.712,0.078,0.057
6,Kpifs,41.289,0.587,24.759,0.445,0.405,0.014,0.221
7,MinMaxKmeans_b0+k-Means,29.279,0.0,12.81,0.0,0.739,0.0,0.047
8,MinMaxKmeans_b01+k-Means,29.279,0.0,12.81,0.0,0.739,0.0,0.047
9,MinMaxKmeans_b03+k-Means,29.279,0.0,12.81,0.0,0.739,0.0,0.062
10,Kmedians+k-Means,35.446,0.0,26.702,0.0,0.582,0.0,0.109
11,Kpifs+k-Means,29.491,0.0,11.827,0.0,0.711,0.0,0.094
