,Algorithm,Compl,Homo,V-meas,DB,Silhouette
0,MinMaxKmeans_b0,0.713,0.711,0.712,1.947,0.174
1,MinMaxKmeans_b01,0.723,0.722,0.723,1.942,0.175
2,MinMaxKmeans_b03,0.718,0.717,0.718,1.942,0.174
3,Kmeans,0.74,0.722,0.731,1.948,0.175
4,Kmeans++,0.74,0.723,0.731,1.916,0.177
5,Kmedians,0.7,0.685,0.692,1.981,0.171
6,Kpifs,0.729,0.729,0.729,2.018,0.167
7,MinMaxKmeans_b0+k-Means,0.742,0.735,0.739,1.924,0.181
8,MinMaxKmeans_b01+k-Means,0.744,0.738,0.741,1.931,0.181
9,MinMaxKmeans_b03+k-Means,0.744,0.738,0.741,1.932,0.181
10,Kmedians+k-Means,0.747,0.732,0.739,2.057,0.161
11,Kpifs+k-Means,0.744,0.736,0.74,1.925,0.181
