,Algorithm,Compl,Homo,V-meas,DB,Silhouette
0,MinMaxKmeans_b0,0.683,0.682,0.682,0.877,0.422
1,MinMaxKmeans_b01,0.683,0.682,0.682,0.877,0.422
2,MinMaxKmeans_b03,0.683,0.682,0.682,0.877,0.422
3,Kmeans,0.672,0.67,0.671,0.876,0.422
4,Kmeans++,0.674,0.673,0.673,0.876,0.422
5,Kmedians,0.684,0.679,0.682,0.885,0.415
6,Kpifs,0.415,0.407,0.411,1.158,0.295
7,MinMaxKmeans_b0+k-Means,0.675,0.673,0.674,0.876,0.422
8,MinMaxKmeans_b01+k-Means,0.675,0.673,0.674,0.876,0.422
9,MinMaxKmeans_b03+k-Means,0.675,0.673,0.674,0.876,0.422
10,Kmedians+k-Means,0.666,0.664,0.665,0.877,0.422
11,Kpifs+k-Means,0.675,0.673,0.674,0.876,0.422
